,Text,Emotions
0,"What a run by Team Morocco!
#WorldCup2022 https://t.co/P9uVB7aU20","['admiration', 'excitement', 'surprise']"
1,"@FrozenPissDMT O, it's ok my friend 😊  I'm glad you understood what I mean . You know , I miss Virgil so much, didn't see him so long after #WorldCup2022","['joy', 'relief']"
2,Today is the day #ArgentinaVsFrance  #WorldCup2022,"['excitement', 'joy', 'relief']"
3,Audrey Wanda #世界杯 Victoria #WorldCup2022 Strawberry https://t.co/PJevzoN1Xa,"['disgust', 'embarrassment', 'fear']"
4,"Come on leo messi.
#ArgentinaVsFrance . #LeoMessi .#VamosArgentina .#WorldCup2022",['excitement']
5,"World cup can't describe messi !
This little boy proves everyone degree, trophy, exam marks, money can't describe your talent and hard work. Nor matter messi win or loss WC but your always be untouchable player. #Messi #WorldCup2022 https://t.co/iunTsjj7Jd","['admiration', 'pride']"
6,If this is right I'll be most impressed. #WorldCup2022 https://t.co/73rjOsbyiD,"['admiration', 'optimism']"
7,"The calm before the storm 🥟🇦🇷 🥟 #worldcup2022 (at @VengaEmpanadas in San Francisco, CA) https://t.co/eYJt1scxo3 https://t.co/RVKJQkFgk0","['confusion', 'realization']"
8,"Argentina 🇦🇷 or France 🇫🇷 tomorrow, Talk to me, Who you got? 💰 #WorldCup #WorldCup2022",['curiosity']
9,FIFA disallowed Vladimir Zelensky from giving a speech before the World Cup Final. Right decision? #WorldCup #WorldCup2022 #FIFAWorldCup #FIFA #FIFA23 #QatarWorldCup #Qatargate #UkraineRussiaWar #Russia,"['confusion', 'curiosity']"
10,"♖ 4K Wallpapers 
➭ Final Day
#WorldCup2022 #Qatar2022 https://t.co/K1RJRqPXR5",['realization']
11,If you’re a fan of sport at all - this is one to watch. I was hoping for Ronaldo VS Messi…but now I’m all in on #Messi winning! #Argentina #WorldCup2022 https://t.co/mRzlksXIaz,"['desire', 'optimism']"
12,"@FIFAWorldCup Don't mess it up with your unfair referee rules in favor of Argentina !! We all saw what happened in ARG-NED ! We want equality, Messi and Mbappé deserve to be treated with the same respect ! #WorldCup2022 #FRAARG","['approval', 'desire']"
13,Squad Practice #subbuteo #tablesoccer #futbolmini #football #WorldCup2022 https://t.co/TUJE2VeEH3,['confusion']
14,"Been doing the work today 

#WorldCup #WorldCupFinal #QatarWorldCup #WorldCup2022 https://t.co/hJkc6OLojL","['confusion', 'realization']"
15,"That's right, Xherdan Shaqiri has carried Switzerland to their firs ever World Cup! #SUI #WorldCup2022 #FM23 🇨🇭 https://t.co/CK8wmStKz9 https://t.co/2bxmHuRUkt",['approval']
16,I can only hope for france to win tomorrow  #WorldCup2022,"['desire', 'excitement', 'optimism']"
17,"Rate my team yall, and say what i should upgrade #fifamobile #FIFA #WorldCup2022 https://t.co/iUB0f5FrWG","['anger', 'annoyance', 'curiosity']"
18,My predictions for the World Cup 2022. Create yours now to join the tournament and get a chance to win big prizes! https://t.co/xODmMLUJys #WorldCup2022 #WorldCup,"['excitement', 'joy', 'pride']"
19,"At the next #WorldCup, we're going to have AI inspired tactics and formations ... #WorldCup2022 #ARGFRA #AI https://t.co/JosE76Xzhx","['desire', 'excitement', 'optimism']"
20,My predictions for the World Cup 2022. Create yours now to join the tournament and get a chance to win big prizes! https://t.co/xODmMLUJys #WorldCup2022 #WorldCup,"['excitement', 'joy', 'pride']"
21,Last praying for #Arg #Messi𓃵 ，The final success in #WorldCup2022 ，VAMOSSSSSS,"['caring', 'optimism']"
22,"Worth reading in the “eve” of THE EVEnt.   

The pearl of this article is the expression: “psychogeographic dérive”

#messi #WorldCup2022 #ArgentinaVsFrance #arg 

The Genius of Lionel Messi Just Walking Around https://t.co/6UVruLPeBB via @NewYorker","['admiration', 'gratitude']"
23,Thanks #Morocco #المغرب #CROMAR #WorldCup2022 #QatarWorldCup https://t.co/YxsQ7nS5hU,['gratitude']
24,"Check out the latest episode of Sports Unfolded. Eric and Ron talk #CarlosCorrea #sanfrancisco49ers #neworleanssaints #stephcurry #alexovechkin #nyyankees and much more #NHL #NFLl #NBA #MLB  #WorldCup2022 

https://t.co/xtauQsRbbv","['approval', 'realization']"
25,"Big Respect for both Teams 🇭🇷🤝🏼🇲🇦 Was fun to watch them.

#Gvardiol and #Modric with one Masterclass after another at
#WorldCup2022  #CROMAR https://t.co/MGTIPP1uwV","['admiration', 'amusement']"
26,"SPECIAL PIALA DUNIA 2022
even mix parlay..
Kontak ​Gilabet88 :
📲 Whatsapp : https://t.co/DwuabzbDg8
📲 LiveChat    : https://t.co/g34MedESTR
📲 Telegeam  : https://t.co/GTO219wbpL

#correctscore #tebakscore #prancis #ARGENTINA #WorldCup2022
#GRANFINAL #FINALWORLCUP #MESSI #MBAPE https://t.co/rPyIxCbJj6",['confusion']
27,"#WorldCup2022 Finals is Today where us your placing, what has been your best and worst moments...

#Messi #Mbappe #ArgentinaVsFrance","['confusion', 'curiosity', 'disapproval']"
28,"Check out the date of the Tweet below 😮

#WorldCup2022 #ArgentinaVsFrance 
#Messi𓃵 https://t.co/h5Ia2o6mpA","['approval', 'realization']"
29,"SPECIAL PIALA DUNIA 2022
even mix parlay..
Kontak ​Gilabet88 :
📲 Whatsapp : https://t.co/CljVcqyKRi
📲 LiveChat    : https://t.co/s1L87Y6I44
📲 Telegeam  : https://t.co/dXZyBleK3B

#correctscore #tebakscore #prancis #ARGENTINA #WorldCup2022
#GRANFINAL #FINALWORLCUP #MESSI #MBAPE https://t.co/NKXLAlQmxy",['confusion']
30,The final word: The history of of the #WorldCup final https://t.co/FyAu61ICPs #WorldCup2022 #WorldcupQatar2022 #ARGvFRA #Qatar #France #Argentina #Brazil #Italy #Spain #Germany #Uruguay #England,"['approval', 'realization']"
31,"#TeamMorocco #المغرب_فخر_العرب_وافريقيا #WorldCup2022 
#FifaMafia 
#African #Hakimi #WalidRegragui
We all know that you're the world champions 🏆 🥇 🇲🇦 
Thank you so much guys ❤️
We're proud of you 👏 
Shame on the unfair refrees https://t.co/Fz6oOevFLh",['gratitude']
32,World Cup Final day 🇫🇷🇦🇷🙌🙌🤩👀🤞#WorldCup2022 #WorldcupQatar2022 #WorldCupFinal #FIFAWorldCup #FIFAWorldCupQatar2022 https://t.co/EKCGiACpWb,"['excitement', 'joy', 'pride']"
33,"This year, Google Duplex called over 100,000 local businesses in7countries to help fans around the world easily find bars, restaurants and cafes showing the ⚽ games. Search for ""where to watch the World Cup near me""and enjoy watching the final!🏆 Gooaalll!
#Google 
#WorldCup2022 https://t.co/BQ6C4oPPZH","['excitement', 'joy']"
34,I as talking to a buddy of mine in the UK this week who told me tthey aare having a hard time getting excited about the #WorldCup during Christmastime. No probelm here! #Goooooooooooooal #WorldCup2022 https://t.co/x85kfpcYxb,"['confusion', 'excitement']"
35,"here's @IbrahimaKonate_ 
@premierleague don't be biased, Incase you don't know he plays for Liverpool.
He earns a spot on ur post.
Equality my gees, the best defender in the world cup so far
#QatarWorldCup 
#ArgentinaVsFrance 
#QatarWorldCup2022 
#WorldCup2022 
#FIFAWorldCup https://t.co/fybdcKWtOi","['admiration', 'approval', 'caring']"
